model_id,model,family,train_size,n_test_cases,source_spatial_summary,case_macro_mean_relative_rmse,case_macro_median_relative_rmse,case_macro_p90_relative_rmse,case_macro_worst_relative_rmse,case_macro_std_relative_rmse,case_macro_mean_relative_gradient_error,case_macro_median_relative_gradient_error,case_macro_p90_relative_gradient_error,case_macro_worst_relative_gradient_error,case_macro_std_relative_gradient_error,case_macro_mean_relative_rmse_ratio_vs_n54,case_macro_mean_relative_gradient_error_ratio_vs_n54
cno,CNO,Neural operator,48,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n48/spatial_plot_summary.csv,0.04090078051644892,0.041167105201945824,0.05255313361080427,0.05667850144920792,0.00923097872540902,0.19292721427712495,0.18455495942433456,0.2496925532322718,0.2675970778034146,0.04581331322032975,1.0231206352665192,1.0187025152562366
deeponet_pod,DeepONet,Neural operator,48,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n48/spatial_plot_summary.csv,0.03697253117250175,0.03845964445097587,0.049550132224771226,0.055309204053503716,0.011861123389681165,0.0946887652046884,0.0979651552646528,0.13402498163192786,0.15069575784112904,0.03514982527222328,1.2938834647114494,1.1228451117116016
deeponet_plasma,DeepONet Plasma,Neural operator,48,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n48/spatial_plot_summary.csv,0.15476230713703482,0.14714169818530198,0.19730328589175436,0.21178405790848445,0.028775940161063808,0.5653518037986001,0.5549059197223185,0.6449263622989173,0.6721034833833089,0.057673739926355445,1.018695533114783,1.0242287962662935
global_mlp,Global MLP,Neural network,54,13,runs/gec_ccp_global_mlp_regularized_v1/evaluation/spatial/n54/spatial_plot_summary.csv,0.1689130540756995,0.14206560307441823,0.32202662132828663,0.5044846818379661,0.13210355464570978,0.3314081705816015,0.21038105919395234,0.6210712469639883,0.8882673762377935,0.23589141226813523,1.0,1.0
global_resmlp,ResMLP,Neural network,54,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n54/spatial_plot_summary.csv,0.04577697392431397,0.04451072754240248,0.073890279454259,0.09577153815134065,0.023426041071264673,0.13500114313118822,0.13348884332687472,0.2395053847485772,0.2932455285921552,0.07828337096473818,1.0,1.0
global_densemlp,DenseMLP,Neural network,54,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n54/spatial_plot_summary.csv,0.06520481715993781,0.04912719140110057,0.12479305447223328,0.17292754022295498,0.04526899596699396,0.12837863848028747,0.10024396107762482,0.24407950370185783,0.2722938036319805,0.07486371022103962,1.0,1.0
unet,U-Net,Neural network,54,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n54/spatial_plot_summary.csv,0.03591609128444933,0.03203681544558267,0.045872970050148905,0.04783491164694888,0.00891611320191954,0.1892956375130801,0.17238250103546504,0.262342944384034,0.31238782376552565,0.06267663624296076,1.0,1.0
unetpp,U-Net++,Neural network,54,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n54/spatial_plot_summary.csv,0.05420662173170919,0.04853839012336777,0.07246175589853893,0.07400023507030594,0.014333761324062437,0.25230261698284673,0.22196618787565672,0.3453329292876126,0.4157297047949872,0.09334579676888433,1.0,1.0
fno,FNO,Neural operator,54,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n54/spatial_plot_summary.csv,0.027718576404593596,0.029770150888496858,0.035271890526581834,0.03700484227063199,0.005957739922650277,0.16619572523914433,0.1681877034200685,0.21232183184978926,0.2381939194110067,0.03918238579337545,1.0,1.0
ffno,FFNO,Neural operator,54,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n54/spatial_plot_summary.csv,0.018413927511130187,0.018628344199569803,0.023180550104276502,0.024875269932814966,0.003982532769851506,0.12287569253847054,0.12544652055179065,0.16333987171921274,0.17890894608820093,0.031095088516432046,1.0,1.0
u_no,U-NO,Neural operator,54,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n54/spatial_plot_summary.csv,0.011714741983903184,0.011740293575640593,0.014410991524320961,0.015976201168725526,0.0024430432568655026,0.09607756059200813,0.09417379506388114,0.1333653250419195,0.14001490905454908,0.026168006624786064,1.0,1.0
cno,CNO,Neural operator,54,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n54/spatial_plot_summary.csv,0.03997649847595383,0.03747068750447048,0.05542577294012903,0.056941307543325353,0.011002779029515372,0.18938523404803562,0.17946114834671023,0.2532218400731663,0.26179469260318206,0.04794752379822957,1.0,1.0
deeponet_pod,DeepONet,Neural operator,54,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n54/spatial_plot_summary.csv,0.02857485405824167,0.025370261799530388,0.04349017473643966,0.056284889805483435,0.012886883821243237,0.08432932041744404,0.07389257854148677,0.12833400619880123,0.1727384589774493,0.04192849360015897,1.0,1.0
deeponet_plasma,DeepONet Plasma,Neural operator,54,13,runs/gec_ccp_training_size_ablation_v1/summary_all_models/spatial/n54/spatial_plot_summary.csv,0.15192204354114583,0.14137312486741738,0.1866745664224413,0.21144239119789793,0.02765771076359897,0.5519780403163083,0.5386654754717384,0.6297441547085048,0.6427540470236164,0.054466235501478354,1.0,1.0
