case_id,case_index,var,n_points,integral_true,integral_pred,integral_rel_error,p95_true,p95_pred,p95_rel_error,p99_true,p99_pred,p99_rel_error,peak_location_error_px,center_of_mass_error_px,profile_rmse_r,profile_rmse_z,grad_rmse,top10_rmse,shape_corr,distribution_error_score
case_g060_op05,43.0,ne,128000.0,1.6091333476956944e+21,1.5279302349214033e+21,0.050463880380439176,2.8580503496320612e+16,3.0536021540916428e+16,0.06842139939373583,2.9515137922377972e+16,3.430174067582304e+16,0.16217450062518365,150.88074761214565,6.203508827163673,2282888792044827.5,1527521540209984.2,852624362426326.5,4668157206774915.0,0.9392387674864883,0.17343828554465526
case_g002_op01,44.0,ne,128000.0,2.2087886593859767e+23,2.0659435209824094e+23,0.06467125670741038,3.6768811912605435e+18,3.2507398825267164e+18,0.11589749207744546,3.9056459928524815e+18,3.476083300801152e+18,0.10998505569563902,14.560219778561036,1.8290240230247599,1.7037900214697155e+17,1.622937009234738e+17,1.4978827116449144e+16,4.351668048724994e+17,0.9931626435038734,0.09790800432274936
case_g050_op01,45.0,ne,128000.0,8.384490085313008e+22,7.056528470883887e+22,0.15838310987513637,1.509793154730033e+18,1.1863137208460378e+18,0.2142541399598786,1.6320319468123612e+18,1.2625692296629714e+18,0.22638203735595616,53.45091205957107,11.610421374832164,1.423058159077988e+17,1.2004000647077797e+17,5036306970521031.0,3.427166784498974e+17,0.9854311082702162,0.20377926693941287
case_g057_op03,46.0,ne,128000.0,4.888595212932897e+22,4.772062590972267e+22,0.02383765005790202,8.489407137225637e+17,7.897252265184977e+17,0.06975220559797282,9.130233829359037e+17,8.617749714177937e+17,0.05613044799938911,21.18962010041709,3.5483516172768232,2.6660259592618068e+16,2.248743101520558e+16,3077570975791562.5,8.583540523658955e+16,0.9904092370598568,0.07555314715456028
case_g013_op06,47.0,ne,128000.0,3.168313825215115e+21,1.8960911394296724e+21,0.40154566623433025,5.187014630236487e+16,3.5855435495899132e+16,0.3087462046687074,5.493010790715752e+16,3.884712457972744e+16,0.2927899459912481,234.47814397081873,21.603833619569123,1.2157380876477882e+16,1.1131164977980922e+16,821438728597490.0,2.5396729226714916e+16,0.8596057747478257,0.46439540456482103
case_g001_op05,48.0,ne,128000.0,8.985571139214394e+21,7.481718348434731e+21,0.16736307213868923,1.6545090025721686e+17,1.3839135817492067e+17,0.16355028615878367,1.761536560495539e+17,1.5561839881293398e+17,0.11657582191108834,22.02271554554524,5.709594345462628,1.4662510951068508e+16,1.3090242589724108e+16,1179332055840283.0,2.8460453048008476e+16,0.9864849607021481,0.14294145445872417
case_g044_op06,49.0,ne,128000.0,8.500178994269134e+22,7.637235691724877e+22,0.1015206036397655,1.4624557500523866e+18,1.2257842572658998e+18,0.1618315581705696,1.567564937124779e+18,1.3143949067758966e+18,0.16150529037300734,5.0,9.080656539880854,9.690777854117842e+16,8.352848971519835e+16,4836614975507044.0,2.451921897466044e+17,0.9905649731559742,0.13646264791586402
case_g051_op01,50.0,ne,128000.0,2.3072817615020322e+23,1.689254553284626e+23,0.26785944331960254,4.1913288692821125e+18,2.715096286637326e+18,0.35221110742799683,4.5402780763322895e+18,2.995078596598683e+18,0.3403314629093916,18.027756377319946,13.562352881102159,6.306384490252906e+17,5.59058575634864e+17,1.6888460710356078e+16,1.498314117364918e+18,0.9775054705843061,0.3047772108609194
case_g014_op02,51.0,ne,128000.0,2.896964733761482e+22,2.3104078636587613e+22,0.20247290664844317,5.437339828351925e+17,4.394651614334418e+17,0.1917644007793328,5.873973182126147e+17,4.6790958084519885e+17,0.20341893580822573,52.3450093132096,16.42402183888346,6.385992353290654e+16,4.935907100041936e+16,2340231220270100.5,1.2708620306890414e+17,0.9773150193951241,0.20805608275387452
case_g048_op06,52.0,ne,128000.0,1.973347468766039e+21,1.2205040851798152e+21,0.3815057386000992,3.799363503521792e+16,2.1089075831871896e+16,0.44493134672890516,3.981940557525024e+16,2.4561026204528804e+16,0.38318953159374347,573.3550383488401,13.985343962350584,7523664148116120.0,6737863425882778.0,811493876008785.8,1.7147648359544284e+16,0.9553721237701454,0.5332535303859269
