case,radial_bin,radius_cm,comsol_bohm_flux_m2_s,formal_dimension_bohm_flux_m2_s,formal_sdf_bohm_flux_m2_s,e1_causal_em_bohm_flux_m2_s
size_gradient,20,19.72211162979255,1.311374651219712e+20,1.721236880085932e+20,1.5280835201905983e+20,1.3894180962626304e+20
height_gradient_mild,1,2.245806168292391,1.8241703965033805e+20,1.8688006284093473e+20,1.8414259019997843e+20,1.7576205386698693e+20
height_gradient_mild,2,5.39165330402977,2.0126211761791274e+20,2.1975294247949674e+20,1.991366887338863e+20,1.916475997812414e+20
height_gradient_mild,3,7.0265064942610564,2.142788383985548e+20,2.3715451664096454e+20,2.1910600156388367e+20,2.089555559165142e+20
height_gradient_mild,4,8.334719221586703,2.2280405974528016e+20,2.4733307758534794e+20,2.2239212791711387e+20,2.177855590572577e+20
height_gradient_mild,5,9.460321692019834,2.2671891574623483e+20,2.4667544140463384e+20,2.3014477169131992e+20,2.1817125062331947e+20
height_gradient_mild,6,10.464150973336217,2.272523755548915e+20,2.4499815191473907e+20,2.2998285821579818e+20,2.1418599774922297e+20
height_gradient_mild,7,11.379082535111348,2.2448282479535636e+20,2.429284740685906e+20,2.2838622477848674e+20,2.135094912019425e+20
height_gradient_mild,8,12.2253505582234,2.187046590001523e+20,2.4285214517024345e+20,2.3057632712411555e+20,2.148062933223477e+20
height_gradient_mild,9,13.016482386627139,2.110986306859216e+20,2.3655410178471022e+20,2.2227892683048842e+20,2.0805265326240763e+20
height_gradient_mild,10,13.762059862103577,2.0299784852929964e+20,2.263267855539194e+20,2.1272512758572643e+20,2.03214412596189e+20
height_gradient_mild,11,14.46916776999303,1.9329753944788186e+20,2.1709461273945847e+20,1.976571718465915e+20,2.0024388954816116e+20
height_gradient_mild,12,15.143221548036674,1.8321539878824755e+20,2.0555121304605085e+20,1.819933244143856e+20,1.8720456513353813e+20
height_gradient_mild,13,15.788471896905213,1.7248058554504194e+20,1.9840768610740663e+20,1.748551760890202e+20,1.7363740910558505e+20
height_gradient_mild,14,16.408328455119364,1.6155529967983863e+20,1.9347336274143406e+20,1.7530119558227303e+20,1.5921658340934176e+20
height_gradient_mild,15,17.005576122987115,1.5120396326406075e+20,1.815383379128379e+20,1.6893968353997403e+20,1.4557227814009754e+20
height_gradient_mild,16,17.582524633399615,1.4137434586209213e+20,1.7251452902863238e+20,1.5527870677429646e+20,1.3685589204440352e+20
height_gradient_mild,17,18.141114965062243,1.3232142663853331e+20,1.714623730056459e+20,1.4864311254934743e+20,1.3692391986374214e+20
height_gradient_mild,18,18.682996920004733,1.2457125089048417e+20,1.655367513696262e+20,1.4042741083014465e+20,1.3342126841725526e+20
height_gradient_mild,19,19.209586883824628,1.2002024428917005e+20,1.566731522241069e+20,1.3034590939672194e+20,1.303782570985733e+20
height_gradient_mild,20,19.72211162979255,1.2676853150403204e+20,1.721236880085932e+20,1.4155287573492231e+20,1.3908902471530103e+20
